epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,896.39,1.70835,1.85933,1.76895,0.58077,0.37925,0.38536,0.12313,2.26294,2.06787,2.34215,0.000144942,0.000144942,0.000144942
92,906.247,1.66284,1.86578,1.72577,0.55738,0.4032,0.41613,0.1403,2.24463,2.02718,2.34225,0.000142586,0.000142586,0.000142586
93,916.385,1.68895,1.85472,1.75661,0.52713,0.42597,0.40234,0.13325,2.24668,2.02578,2.32691,0.00014023,0.00014023,0.00014023
94,926.247,1.73169,1.85663,1.7672,0.47031,0.45088,0.36403,0.11618,2.2843,2.08317,2.3589,0.000137873,0.000137873,0.000137873
95,936.138,1.71102,1.79897,1.74056,0.46766,0.45181,0.36501,0.11372,2.28659,2.07255,2.37483,0.000135517,0.000135517,0.000135517
96,945.865,1.67581,1.78503,1.69329,0.45884,0.39199,0.33612,0.09827,2.28752,2.12585,2.41289,0.000133161,0.000133161,0.000133161
97,955.578,1.62568,1.75455,1.71533,0.44056,0.45802,0.37204,0.11116,2.29616,2.07281,2.41096,0.000130805,0.000130805,0.000130805
98,965.195,1.64624,1.75746,1.68752,0.52249,0.40096,0.36224,0.11524,2.29293,2.01294,2.36495,0.000128449,0.000128449,0.000128449
99,975.418,1.65929,1.75041,1.70496,0.46243,0.37085,0.34319,0.10554,2.30997,2.05075,2.38526,0.000126092,0.000126092,0.000126092
100,985.211,1.66023,1.77066,1.69811,0.54024,0.29592,0.32815,0.10789,2.29827,2.04862,2.36398,0.000123736,0.000123736,0.000123736
101,994.939,1.65025,1.79358,1.70094,0.50848,0.36123,0.35627,0.10843,2.32659,2.0235,2.38375,0.00012138,0.00012138,0.00012138
102,1004.74,1.63514,1.75417,1.68939,0.61613,0.35289,0.37103,0.11054,2.28782,2.02968,2.35323,0.000119024,0.000119024,0.000119024
103,1014.66,1.59949,1.75501,1.67007,0.61345,0.32264,0.36135,0.12024,2.25814,2.0511,2.32103,0.000116668,0.000116668,0.000116668
104,1024.35,1.62324,1.72161,1.67952,0.51394,0.43861,0.36659,0.11878,2.22736,2.02514,2.28879,0.000114311,0.000114311,0.000114311
105,1034.11,1.66373,1.73749,1.69468,0.53899,0.4199,0.37997,0.11745,2.24674,2.04563,2.31254,0.000111955,0.000111955,0.000111955
106,1043.76,1.63373,1.72515,1.70894,0.55528,0.39517,0.36511,0.10861,2.27342,2.06559,2.34372,0.000109599,0.000109599,0.000109599
107,1053.51,1.6041,1.67108,1.66295,0.53101,0.35641,0.35828,0.10947,2.3006,2.09216,2.36624,0.000107243,0.000107243,0.000107243
108,1063.27,1.64537,1.70183,1.70963,0.54793,0.38585,0.38373,0.11604,2.26361,2.07896,2.30927,0.000104887,0.000104887,0.000104887
109,1073.24,1.67836,1.74919,1.71938,0.55182,0.33972,0.36943,0.12033,2.2747,2.05942,2.33387,0.00010253,0.00010253,0.00010253
110,1082.9,1.6808,1.73482,1.68572,0.60077,0.36867,0.37084,0.12112,2.2306,2.05857,2.27378,0.000100174,0.000100174,0.000100174
111,1092.84,1.67187,1.72154,1.6903,0.66141,0.34784,0.37869,0.12703,2.21567,2.03429,2.26029,9.7818e-05,9.7818e-05,9.7818e-05
112,1102.81,1.58997,1.69425,1.6858,0.66933,0.34117,0.36636,0.11749,2.2612,2.08519,2.31321,9.54618e-05,9.54618e-05,9.54618e-05
113,1112.62,1.62315,1.68882,1.67406,0.49626,0.38854,0.33427,0.11243,2.25678,2.1079,2.31378,9.31056e-05,9.31056e-05,9.31056e-05
114,1122.4,1.62405,1.70294,1.67435,0.61614,0.36036,0.36381,0.12111,2.25601,2.08755,2.28783,9.07494e-05,9.07494e-05,9.07494e-05
115,1132.49,1.6232,1.69923,1.68753,0.56258,0.35598,0.35535,0.12296,2.26928,2.10113,2.26801,8.83932e-05,8.83932e-05,8.83932e-05
116,1142.28,1.65523,1.66362,1.67704,0.56386,0.39259,0.34526,0.11126,2.30802,2.13645,2.32316,8.6037e-05,8.6037e-05,8.6037e-05
117,1152.1,1.5834,1.63448,1.65861,0.49493,0.40909,0.33901,0.11538,2.29814,2.09874,2.3315,8.36808e-05,8.36808e-05,8.36808e-05
118,1161.96,1.59982,1.65292,1.67115,0.46269,0.39292,0.36134,0.11994,2.28641,2.05521,2.31201,8.13246e-05,8.13246e-05,8.13246e-05
119,1171.99,1.63432,1.70141,1.6601,0.5217,0.34036,0.33039,0.10985,2.28551,2.04835,2.30258,7.89684e-05,7.89684e-05,7.89684e-05
120,1181.74,1.62613,1.66241,1.64306,0.47972,0.41132,0.33713,0.11768,2.32518,1.99987,2.35602,7.66122e-05,7.66122e-05,7.66122e-05
121,1191.46,1.62586,1.68531,1.67046,0.58317,0.35584,0.36434,0.12471,2.29608,2.03282,2.33816,7.4256e-05,7.4256e-05,7.4256e-05
122,1201.27,1.61707,1.69736,1.65515,0.5938,0.36269,0.35036,0.11576,2.29508,2.04923,2.35947,7.18998e-05,7.18998e-05,7.18998e-05
123,1210.97,1.61054,1.64968,1.65763,0.60079,0.3676,0.34427,0.12077,2.3201,2.0888,2.36376,6.95436e-05,6.95436e-05,6.95436e-05
124,1221.11,1.58547,1.61384,1.66852,0.56325,0.35,0.33525,0.11791,2.34094,2.10679,2.37083,6.71874e-05,6.71874e-05,6.71874e-05
125,1230.73,1.60056,1.59106,1.6047,0.54041,0.35538,0.34773,0.11785,2.33431,2.13953,2.34535,6.48312e-05,6.48312e-05,6.48312e-05
126,1240.61,1.58302,1.6542,1.66719,0.599,0.33027,0.35258,0.11701,2.298,2.12297,2.31994,6.2475e-05,6.2475e-05,6.2475e-05
127,1250.24,1.54301,1.62179,1.63268,0.55737,0.38122,0.34476,0.11908,2.29042,2.09024,2.3326,6.01188e-05,6.01188e-05,6.01188e-05
128,1260.26,1.62701,1.64383,1.6693,0.56758,0.38163,0.3681,0.12015,2.27789,2.09416,2.32779,5.77626e-05,5.77626e-05,5.77626e-05
129,1269.98,1.56654,1.58866,1.63287,0.57414,0.37719,0.36492,0.1193,2.28066,2.07652,2.33381,5.54064e-05,5.54064e-05,5.54064e-05
130,1279.81,1.58159,1.64038,1.63672,0.51076,0.40991,0.3569,0.1132,2.29569,2.0835,2.35092,5.30502e-05,5.30502e-05,5.30502e-05
131,1289.59,1.62794,1.64329,1.64806,0.50449,0.41843,0.34678,0.1119,2.29883,2.10179,2.35564,5.0694e-05,5.0694e-05,5.0694e-05
132,1299.58,1.5576,1.58751,1.62276,0.53419,0.4015,0.33873,0.11365,2.29112,2.07097,2.34208,4.83378e-05,4.83378e-05,4.83378e-05
133,1309.44,1.60488,1.61379,1.64108,0.51481,0.40275,0.34555,0.11735,2.29076,2.0766,2.34334,4.59816e-05,4.59816e-05,4.59816e-05
134,1319.04,1.57599,1.58348,1.6388,0.5281,0.3804,0.3638,0.12001,2.29773,2.0749,2.34285,4.36254e-05,4.36254e-05,4.36254e-05
135,1328.88,1.58522,1.5989,1.63131,0.53258,0.37539,0.38758,0.13604,2.28372,2.08738,2.34071,4.12692e-05,4.12692e-05,4.12692e-05
136,1338.52,1.5917,1.54947,1.61482,0.54166,0.40016,0.38033,0.13165,2.28602,2.06631,2.3462,3.8913e-05,3.8913e-05,3.8913e-05
137,1348.5,1.55918,1.58501,1.62976,0.56151,0.3936,0.3969,0.13682,2.29849,2.05166,2.35049,3.65568e-05,3.65568e-05,3.65568e-05
138,1358.21,1.52645,1.55563,1.60705,0.5655,0.40296,0.37675,0.12686,2.30058,2.0707,2.35182,3.42006e-05,3.42006e-05,3.42006e-05
139,1367.94,1.57782,1.60715,1.61378,0.52102,0.42445,0.36505,0.12258,2.31555,2.07832,2.36422,3.18444e-05,3.18444e-05,3.18444e-05
140,1377.76,1.55985,1.57039,1.61066,0.54004,0.38707,0.35154,0.12084,2.30698,2.06671,2.36088,2.94882e-05,2.94882e-05,2.94882e-05
141,1386.64,1.49781,1.62612,1.71858,0.50596,0.38909,0.35817,0.11853,2.33792,2.11447,2.3636,2.7132e-05,2.7132e-05,2.7132e-05
142,1395.4,1.4516,1.51659,1.66262,0.49106,0.39316,0.34911,0.11406,2.37839,2.14074,2.40619,2.47758e-05,2.47758e-05,2.47758e-05
